horizon,total_samples,n_up,pct_up,n_down,pct_down,n_flat,pct_flat,mean_return_bps,std_return_bps,skewness,kurtosis
1,11918879,2044049,17.15,2093808,17.57,7781022,65.28,-0.0,0.168,-1.442,1282.4956
2,11918878,3114571,26.13,3189715,26.76,5614592,47.11,-0.0,0.2434,-0.9226,585.2173
3,11918877,3674398,30.83,3760179,31.55,4484300,37.62,-0.0001,0.3056,-0.8588,382.5827
5,11918875,4247361,35.64,4337354,36.39,3334160,27.97,-0.0001,0.413,-0.2339,279.7292
10,11918870,4851965,40.71,4947696,41.51,2119209,17.78,-0.0002,0.6382,0.0731,122.8475
20,11918860,5329647,44.72,5438389,45.63,1150824,9.66,-0.0005,1.0169,-0.0692,62.6455
50,11918830,5718425,47.98,5821374,48.84,379031,3.18,-0.0011,1.9241,-0.1135,19.7867
100,11918780,5846464,49.05,5913217,49.61,159099,1.33,-0.002,3.0638,-0.0474,6.6833
200,11918680,5900830,49.51,5939126,49.83,78724,0.66,-0.0039,4.7119,-0.0064,2.3428
500,11918380,5910911,49.59,5965108,50.05,42361,0.36,-0.0093,7.9412,0.0047,0.9695
