lag,acf_returns,acf_order_flow_imbalance,acf_trade_direction
1,0.046233,0.217277,0.707877
2,0.053524,0.175821,0.624498
3,0.055019,0.168775,0.579064
4,0.048855,0.160176,0.547084
5,0.044046,0.152618,0.518521
6,0.046413,0.147514,0.49501
7,0.045945,0.144835,0.473072
8,0.036394,0.135737,0.452686
9,0.036821,0.126441,0.433836
10,0.037981,0.124343,0.418045
11,0.036025,0.123532,0.40368
12,0.036489,0.11667,0.390067
13,0.031939,0.113865,0.376582
14,0.030305,0.113303,0.364915
15,0.030604,0.103306,0.354314
16,0.029615,0.105982,0.344044
17,0.029911,0.105848,0.333767
18,0.02682,0.103835,0.324727
19,0.027347,0.094672,0.317293
20,0.0225,0.097177,0.309361
